Gamma,Beta,Alpha,Theta,Delta
32.8097137,17.63731765,10.29267609,7.788134615,0.869811276
40.15287697,16.20743976,11.9981737,7.170561193,2.258753684
37.35877215,13.49310412,8.427751683,7.493064504,0.720827962
45.08500506,17.98539361,8.83761642,6.068797126,0.669187696
43.21116643,14.00584515,10.36853076,5.325990446,0.738415967
38.99676322,15.55485586,10.50509708,7.5235146,0.692601712
38.18139792,15.70072733,9.854532189,7.662726319,2.208642344
47.4280586,15.79334725,8.701454375,7.685743232,1.78295167
41.06012842,14.9707849,8.997985957,7.797709601,1.425267933
34.80783008,15.02251936,10.60355259,5.995333519,2.571137377
37.00037574,17.43736984,10.50040509,7.65673414,0.934502844
46.83172229,17.14513971,9.034602683,5.903763176,2.008490265
40.77410951,14.04226405,10.51772848,4.548650955,1.746972865
39.60850401,14.72755398,11.39613382,5.45002281,1.942099304
47.59841536,14.81053186,9.08821282,6.500698901,2.017191952
43.69124282,17.35669509,8.575486795,5.20139177,1.070855153
35.5293823,12.39088271,11.87463486,5.723744347,2.074239339
43.99521663,16.62310087,8.05252802,4.715531065,1.124895934
49.67274662,16.9422561,11.27508182,7.090825315,2.101311245
41.44615319,15.72162526,9.805736744,6.60758607,2.3505105
33.49108356,17.55460953,9.808465143,4.823594788,2.98747973
48.82946705,14.89260766,9.680472951,7.729165841,1.527152893
40.54981375,14.89094632,8.461216471,4.26198413,2.144729698
42.05293082,16.80098765,8.012492729,4.490397611,1.63072116
41.69227385,12.51217013,8.155830025,4.396579894,2.098890065
38.37736951,16.6454323,9.462722652,6.619349922,2.078233754
30.37688033,16.57092945,8.044931343,4.557696527,0.739004623
46.57573491,15.98929155,10.51350477,4.977912128,2.778475124
45.65729217,17.97503327,9.8009481,7.970090868,0.771210243
38.84360296,17.73204354,11.51039031,7.745014771,2.938610936
46.86231659,14.73997555,9.326145263,6.674137828,1.587350212
41.24893135,17.82861776,8.879275865,7.655423643,1.132724438
39.79972934,13.53822494,10.69803129,4.483338151,1.082397505
35.78561282,14.57781819,8.737366628,4.203010536,0.585769889
33.84777357,14.23532976,9.391530588,6.932710635,1.365757499
