Gamma,Beta,Alpha,Theta,Delta
99.25609469,29.64532296,7.236217223,2.239160345,0.789380227
90.55666278,27.99255752,5.756798094,5.243502303,0.830935878
99.71109245,28.74676441,5.328631895,4.159633412,0.92943816
88.53159015,26.21392875,5.50474316,5.116449912,1.424560454
99.63643889,27.94356378,7.786288764,5.176922433,0.6950299
98.55874129,27.53975273,6.277576692,5.489996123,1.397126143
95.11157167,25.36778209,5.429178686,4.903845379,0.965230902
93.18127564,26.49620242,7.982092445,3.266757424,1.392114197
85.58802543,29.12530463,6.211310665,2.031870766,1.321394141
92.90546425,25.05807702,5.327483215,3.207013698,1.061407538
81.05712999,28.06773197,6.580557596,3.488319579,0.711846991
95.7262722,28.8122749,5.851711478,2.09151672,0.925698101
82.69936153,26.35687597,6.981291002,3.99657516,1.04471975
96.77295565,26.86271901,7.443488832,3.745242278,1.10701895
80.54113294,28.67933353,5.032527651,5.403311694,1.190872844
91.66925985,29.41101413,5.90647539,3.519762216,0.938083899
98.37139044,25.12008768,6.850092168,5.16295238,0.770438805
89.72194238,26.36101543,7.590638761,4.244901715,0.749091049
81.64420435,28.19900941,5.959700991,3.237117358,1.494042374
95.03243922,25.09835445,6.891767643,5.162443248,1.485694194
83.49005512,25.75927305,7.229715605,3.54732167,0.730846484
96.54827346,29.86463982,7.921883917,2.244033752,1.156510626
94.07252778,25.37069855,5.208227865,5.858605263,0.582721432
93.37438103,25.78210822,7.733836441,4.332357945,1.185184167
95.41808338,28.69746335,7.829549537,4.628192299,0.595350542
97.86230432,27.86097735,6.301762937,3.752061505,1.437870555
87.48420828,28.57904115,6.679450847,4.18362071,1.235173468
85.49984749,28.57760811,5.367506968,4.372830259,0.52999868
91.01441057,28.09458754,5.372471641,2.296424415,1.036480801
84.88837035,25.06550852,7.482944971,4.33940981,1.31903102
96.37398871,29.80906032,5.302776789,5.396572971,1.485080597
98.35393164,29.50885212,6.85484905,4.105582021,1.194858192
87.8427824,26.4553741,5.149730111,3.928681165,1.417901056
89.71905038,29.54680507,7.708215661,4.41497925,1.350436512
99.53966512,29.56281378,7.071328032,5.981447229,0.62742187
